Req ID,Area,Requirement,Client Response / Clarification,Status,What Was Done,Contradicts Req
WF-002,Workflow,"Placed/Contract sent — candidates in these stages now have a link to Placements. This navigates to the full placement page. Would be good if it can instead navigate to their individual placement or at least apply a filter.","","Completed","Placement links on Contract Sent and Placed cards now link to /placements?name=<candidate_name> to filter to that specific candidate's placement.",
WF-003,Workflow,"Can we remove the large number tiles from the top of the verticals. The column headers already give the headline number.","","Completed","Deleted the .stage-summary section from workflow page. Column headers retain the count badge.",
WF-004,Workflow,"Focus mode is great but could the verticals be unticked by default.","","Completed","Removed the 'checked' attribute from focus checkboxes. All columns now unchecked by default.",
WF-005,Workflow,"Skip to button > Any stage > SERVER ERROR.","","Completed","Fixed two issues: (1) decorator order on skip/unskip routes, (2) Application.notes attribute doesn't exist — changed to log skip as CandidateNote with note_type='activity' instead.",
WF-006,Workflow,"Start vetting button only appears from Accepted. Need this to be available at all stages.","Automated vetting should be triggered at Accepted if not already pushed manually. That way we will not be paying for checks before commitment.","Completed","Start Vetting (now split into Start Referencing + Start Full Vetting) available at all stages. Auto-trigger at Accepted was built then removed per VET-001 — vetting is manual only.",VET-001
WF-007,Workflow,"Owner Filter > SERVER ERROR.","","Completed","Fixed: Engagement.owner_id doesn't exist (model only has Engagement.owner as String). Used Engagement.owner string match instead. Also aliased User join to avoid SQLAlchemy ambiguity.",
WF-008,Workflow,"Can we make email and phone links on candidate cards interactive links.","","Completed","Changed to mailto: and tel: links with event.stopPropagation() to prevent card drag interference.",
PROJ-001,Projects,"As the number of opportunities and engagements grow we can see this page getting cluttered. Can we have separate pages for Pipeline (for Pipeline/Opportunities) and Projects (for Engagements).","Yes. We did have it as a single page in the wireframe so apologies for changing the brief. On reflection splitting these across two pages will offer a better user experience.","Completed","Created new /pipeline route and page for Opportunities/Kanban. Projects page now shows engagements only. Added Pipeline nav link to sidebar. Both pages share same template with view_mode conditional rendering.",
PROJ-002,Projects,"Can all date fields be in calendar date picker format. Date fields at Opportunities are free text.","","Completed","Changed opportunity date field from free text (DD-MM-YYYY) to HTML5 date input. Updated both create and edit routes to parse ISO format with DD-MM-YYYY fallback.",
PROJ-003,Projects,"When setting an Engagement plan there is now the option to auto-create jobs. However there is no ability to input a job spec. You can also only select from the roles that already exist in the system. Do role profiles need to be created first in Configuration or could this be done as part of editing the engagement plan?","My preference would be to have the role configuration built into the engagement itself. That way when we are setting up or amending an engagement plan everything is in one place. We may end up needing different job specs for the same role across different engagements.","Completed","Added '+ Create new role' option to role dropdown in engagement plan. New roles auto-created in TaxonomyCategory on save. Job Templates section added to Configuration page for default descriptions per role category. Auto-created jobs pull template description if one exists.",
PROJ-004,Projects,"On a test engagement (BiFD Programme > BMW) four roles have been set up in the plan. However only two of these (Team Leader and Case Handler) show on the Delivery Plan by Role table and in the figures on the Delivery Plan Summary tiles.","","Completed","Fixed planned_by_role dict — was only accepting roles in hardcoded ROLE_TYPES list. Now accepts any role from the engagement plan. Also changed display_roles to be driven by plan data (latest version) not applicant activity.",
PROJ-005,Projects,"Once an engagement plan is created the bottom module shows Active Job posts which are the roles created in the plan. This module contains a '+New Job' button. Clicking this does not allow users to create a new job but rather navigates to a Current Opportunities page.","Happy to remove this button altogether and edit the plan when we need to add new roles.","Completed","Deleted the +New Job button from Active Job Posts module. Added per-role 'Create Job Post' button in the Delivery Plan by Role table instead (only shows when no job exists for that role).",
PROJ-006,Projects,"Delivery Plan by Role table — bug with start and end date filters. Do not filter correctly.","","Completed","Added ISO dates to intake sub-rows (data-intake-date-iso). Implemented actual date range comparison in filterDeliveryPlan() JS — was previously a no-op.",
PLACE-001,Placements,"Will Placement list grow indefinitely or be split across multiple pages and show in groups of say 20 50 etc.?","Show 25 placements by default then have an item which allows users to view more i.e. 50 per page 100 per page 150 per page. As we have an Export CSV function it would also be good to have a 'Select all' option so you can export placement details across all pages based on the filters applied.","Partially Completed","Pagination added: default 25 per page with 50/100/150 options and page navigation. Export CSV 'Select all' across pages not yet implemented.",
RP-001,Resource Pool / Associate Profile,"Two different views/formats for Associate profile: 1) From Resource Pool/Workflow card 2) From View Job (in workflow) > Open. Only the second view has the Interview Vetting and Placement sections.","Correct. Can we also include the green workflow status box from the other Profile banner.","Completed","Unified profile: added Interview, Vetting Checks (with inline save forms), and Contract/Placement sections to candidate_profile.html. Green status pill badge added next to candidate name showing current status with colour coding.",
RP-002,Resource Pool / Associate Profile,"Duplication between General Notes and Activity Feed. Workflow changes should be recorded in Activity feed. General notes should just be for user-added notes. Notes being searchable would be ideal.","","Completed","General Notes now filtered to note_type='note' only (user-added). Activity Feed shows only auto-logged workflow changes (note_type='activity'). Search input added to General Notes section.",
RP-003,Resource Pool / Associate Profile,"Issue Contact — does not appear to do anything. Can the fields in this section be pre-populated with the data that exists on the Engagement Role and locked down for anyone without admin rights.","","Completed","Contract form pre-populates dates from engagement, pay rate from plan, role title from job. Fields locked as readonly for non-admin users.",
RP-004,Resource Pool / Associate Profile,"Unclear how to create an Active Placement for associate.","","Completed","Added 'Issue Contract' button to Contract card on candidate profile. Placements guidance text: 'Placements are created automatically when a contract is signed.' Contract card shows engagement/role context with selectable dropdowns and mismatch warning.",
RP-005,Resource Pool / Associate Profile,"From Associate profile > Back to Applications button > SERVER ERROR.","","Completed","Fixed by moving render_template inside SQLAlchemy session to prevent DetachedInstanceError on lazy-loaded relationships.",
RP-006,Resource Pool / Associate Profile,"Need a clear flag to show Vetting Complete for candidate.","That is fine on individual records. Once vetting is complete the candidate card in the workflow will automatically move to Ready to Contract so that can be our visual cue there. Perhaps we could also have a Vetting Complete count tile in the Delivery Plan summary visual of the engagement.","Completed","Vetting Complete tile added as 5th tile in Delivery Plan Summary on engagement dashboard. Counts candidates with all 12 checks complete. Grid updated to 5 columns. Auto-move to Ready to Contract already in place when all checks complete.",
RP-007,Resource Pool / Associate Profile,"Add Associate button > no field to upload CV.","","Completed","Added enctype='multipart/form-data' and CV file input (PDF/DOC/DOCX) to the Add Associate modal form in resource_pool.html.",
VET-006,Vetting,"Vetting items marked as complete do not save. When you click save system reverts to different view of Associate profile and vetting items are no longer visible.","","Completed","Fixed vetting save redirect — both update_vetting_check and manual_vetting_entry routes now redirect back to request.referrer instead of always going to candidate_profile. User stays on the same page after saving.",
VET-007,Vetting,"Cannot progress candidate card through the grid from Accepted to Ready to Contract as message shows vetting items incomplete.","","Completed","Added QC COMPLETE to all vetting completion checks for consistency (5 locations). Combined with VET-006 fix (saves now persist correctly) the progression works when all checks are genuinely complete. Vetting gate now also covers Contract Sent and Placed stages.",
